"""","和歌山県_全 建 築 物_棟　　数","和歌山県_全 建 築 物_前年(同月･期)比","和歌山県_居 住 専 用_棟　　数","和歌山県_居 住 専 用_前年(同月･期)比","和歌山県_産 業 用 （非居住専用）_棟　　数","和歌山県_産 業 用 （非居住専用）_前年(同月･期)比"
"平成24年10月","387.0","10.88825214899714","298.0","11.194029850746261","89.0","9.876543209876544"
"平成24年11月","483.0","14.7268408551069","393.0","17.31343283582089","90.0","4.651162790697683"
"平成24年12月","438.0","15.56728232189974","352.0","18.518518518518505","86.0","4.878048780487802"
"平成25年1月","352.0","-14.975845410628025","289.0","-7.667731629392975","63.0","-37.62376237623762"
"平成25年2月","462.0","56.08108108108107","384.0","59.33609958506224","78.0","41.81818181818181"
"平成25年3月","417.0","4.511278195488728","343.0","8.888888888888886","74.0","-11.904761904761912"
"平成25年4月","480.0","27.32095490716179","360.0","18.42105263157893","120.0","64.3835616438356"
"平成25年5月","368.0","10.843373493975903","287.0","14.799999999999997","81.0","-1.2195121951219505"
"平成25年6月","438.0","15.56728232189974","367.0","20.7236842105263","71.0","-5.333333333333329"
"平成25年7月","457.0","4.100227790432797","377.0","5.898876404494374","80.0","-3.6144578313252964"
"平成25年8月","427.0","2.15311004784688","347.0","-1.9774011299435017","80.0","25.0"
"平成25年9月","451.0","15.345268542199491","407.0","35.66666666666666","44.0","-51.64835164835165"
"平成25年10月","600.0","55.0387596899225","451.0","51.342281879194616","149.0","67.41573033707866"
"平成25年11月","530.0","9.730848861283633","433.0","10.178117048346053","97.0","7.7777777777777715"
"平成25年12月","558.0","27.397260273972606","444.0","26.13636363636364","114.0","32.55813953488371"
"平成26年1月","399.0","13.352272727272734","330.0","14.186851211072664","69.0","9.523809523809533"
"平成26年2月","388.0","-16.01731601731602","313.0","-18.489583333333343","75.0","-3.8461538461538396"
"平成26年3月","368.0","-11.750599520383702","253.0","-26.239067055393576","115.0","55.40540540540539"
"平成26年4月","420.0","-12.5","325.0","-9.722222222222214","95.0","-20.833333333333343"
"平成26年5月","314.0","-14.673913043478265","261.0","-9.059233449477361","53.0","-34.5679012345679"
"平成26年6月","437.0","-0.228310502283108","353.0","-3.8147138964577607","84.0","18.30985915492957"
"平成26年7月","383.0","-16.19256017505471","312.0","-17.241379310344826","71.0","-11.25"
"平成26年8月","373.0","-12.646370023419209","302.0","-12.968299711815561","71.0","-11.25"
"平成26年9月","438.0","-2.8824833702882415","341.0","-16.21621621621621","97.0","120.45454545454547"
"平成26年10月","288.0","-52.0","232.0","-48.55875831485588","56.0","-62.41610738255034"
"平成26年11月","465.0","-12.264150943396217","349.0","-19.399538106235568","116.0","19.587628865979383"
"平成26年12月","412.0","-26.164874551971323","335.0","-24.549549549549553","77.0","-32.45614035087719"
