"""","和歌山県_全 建 築 物_床 面 積","和歌山県_全 建 築 物_前年(同月･期)比","和歌山県_居 住 専 用_床 面 積","和歌山県_居 住 専 用_前年(同月･期)比","和歌山県_産 業 用 （非居住専用）_床 面 積","和歌山県_産 業 用 （非居住専用）_前年(同月･期)比"
"平成17年","1031.968","-12.7","625.613","-8.8","406.355","-18.0"
"平成18年","1201.978","16.474348041799743","641.77","2.5825869986716867","560.208","37.86172189341829"
"平成19年","1031.88","-14.151506932739196","594.028","-7.4391137011702","437.852","-21.841173278496555"
"平成20年","971.278","-5.872969725161852","600.038","1.0117368204865613","371.23999999999995","-15.213359765400185"
"平成21年","827.7280000000001","-14.779496704342108","513.188","-14.47408330805716","314.54","-15.273138670401877"
"平成22年","972.463","17.485816596756408","521.891","1.695869739744495","450.572","43.24791759394671"
"平成23年","972.5519999999999","0.009152019151372315","504.36800000000005","-3.357597659281325","468.1839999999999","3.9088092469127957"
"平成24年","1078.1819999999998","10.861115909483487","510.98699999999997","1.3123354376169516","567.1949999999999","21.14788202928763"
"平成25年","979.336","-9.167839937969632","587.4250000000001","14.958893279085402","391.911","-30.90365747229788"
"平成26年","877.054","-10.44401512861775","490.00800000000004","-16.5837340937141","387.04600000000005","-1.2413532664303801"
"平成19年1-3月","215.605","-20.4","136.542","-13.5","79.06299999999999","-28.9"
"平成19年4-6月","354.26300000000003","43.4","192.667","22.3","161.596","78.4"
"平成19年7-9月","235.11399999999998","-35.9","129.279","-31.2","105.835","-40.6"
"平成19年10-12月","226.898","-28.2","151.639","-2.0","75.25900000000001","-53.1"
"平成20年1-3月","269.54","25.01565362584357","154.475","13.133687803020308","115.065","45.535838508531214"
"平成20年4-6月","202.977","-42.704431453468196","132.353","-31.304790130120878","70.624","-56.295947919502964"
"平成20年7-9月","268.95799999999997","14.39471915751507","175.305","35.60206994175391","93.65299999999999","-11.51036991543441"
"平成20年10-12月","229.803","1.2803109767384342","137.905","-9.057036778137544","91.89800000000001","22.1089836431523"
"平成21年1-3月","242.164","-10.156563033316033","121.32900000000001","-21.457193720666766","120.83499999999998","5.014556989527648"
